Winner,Loser,Winner_Score,Loser_Score
plyr. Myanmar,plyr. Vietnam Republic,2,1
plyr. France,plyr. Luxembourg,3,1
plyr. Ethiopia,plyr. Kenya,2,0
plyr. Belgium,plyr. Israel,2,0
plyr. Ivory Coast,plyr. Algeria,3,0
plyr. DR Congo,plyr. Congo,3,0
plyr. Ethiopia,plyr. Uganda,2,1
plyr. Senegal,plyr. Congo,2,1
plyr. Ghana,plyr. DR Congo,2,1
plyr. Ethiopia,plyr. Ivory Coast,1,0
plyr. Ghana,plyr. Congo,3,1
plyr. DR Congo,plyr. Senegal,2,1
plyr. Ethiopia,plyr. Algeria,3,1
plyr. Ivory Coast,plyr. Uganda,2,1
plyr. DR Congo,plyr. Ethiopia,3,2
plyr. DR Congo,plyr. Ghana,1,0
plyr. Ivory Coast,plyr. Ethiopia,1,0
plyr. Israel,plyr. Switzerland,2,1
plyr. Cyprus,plyr. Switzerland,2,1
plyr. Sweden,plyr. Israel,3,0
plyr. Burkina Faso,plyr. Guinea,2,0
plyr. Spain,plyr. Sweden,3,1
plyr. Wales,plyr. Northern Ireland,2,0
plyr. Germany,plyr. Belgium,3,1
plyr. Guinea,plyr. DR Congo,1,0
plyr. Guernsey,plyr. Alderney,2,0
plyr. Australia,plyr. Japan,3,1
plyr. Guinea,plyr. Burkina Faso,3,1
plyr. Burkina Faso,plyr. Guinea,3,1
plyr. England,plyr. Spain,1,0
plyr. Japan,plyr. Australia,3,1
plyr. Suriname,plyr. Barbados,2,0
plyr. Bulgaria,plyr. Italy,3,2
plyr. Belgium,plyr. Netherlands,2,1
plyr. Suriname,plyr. Martinique,3,1
plyr. Martinique,plyr. Suriname,3,2
plyr. Italy,plyr. Bulgaria,2,0
plyr. Russia,plyr. Belgium,1,0
plyr. Czechoslovakia,plyr. Yugoslavia,3,0
plyr. Eswatini,plyr. Malawi,2,0
plyr. Hungary,plyr. Russia,2,0
plyr. El Salvador,plyr. Guatemala,3,0
plyr. Nigeria,plyr. Kenya,2,1
plyr. England,plyr. Spain,2,1
plyr. Jersey,plyr. Guernsey,2,1
plyr. Iran,plyr. Hong Kong,2,0
plyr. Russia,plyr. Hungary,3,0
plyr. Myanmar,plyr. Israel,1,0
plyr. Paraguay,plyr. Argentina,2,0
plyr. Iran,plyr. Myanmar,3,1
plyr. Myanmar,plyr. Hong Kong,2,0
plyr. Ghana,plyr. Ivory Coast,2,1
plyr. Iran,plyr. Israel,2,1
plyr. England,plyr. Sweden,3,1
plyr. Germany,plyr. England,1,0
plyr. Denmark,plyr. Finland,3,1
plyr. Argentina,plyr. Uruguay,2,0
plyr. Yugoslavia,plyr. England,1,0
plyr. England,plyr. Russia,2,0
plyr. Brazil,plyr. Uruguay,2,0
plyr. Italy,plyr. Yugoslavia,2,0
plyr. Germany,plyr. Brazil,2,1
plyr. Russia,plyr. Austria,3,1
plyr. Belgium,plyr. Finland,2,1
plyr. Uruguay,plyr. Argentina,2,1
plyr. Czechoslovakia,plyr. Brazil,3,2
plyr. Brazil,plyr. Yugoslavia,2,0
plyr. Sweden,plyr. Denmark,2,1
plyr. Zambia,plyr. Uganda,2,1
plyr. Brazil,plyr. Portugal,2,0
plyr. Zambia,plyr. Uganda,2,1
plyr. Brazil,plyr. Mexico,2,0
plyr. Mexico,plyr. Brazil,2,1
plyr. Eswatini,plyr. Malawi,2,0
plyr. Paraguay,plyr. Brazil,1,0
plyr. El Salvador,plyr. Honduras,2,1
plyr. Myanmar,plyr. Vietnam Republic,3,0
plyr. Western Australia,plyr. South Korea,3,0
plyr. Brazil,plyr. Argentina,3,2
plyr. Taiwan,plyr. Singapore,2,0
plyr. Malaysia,plyr. India,2,1
plyr. Myanmar,plyr. Hong Kong,3,0
plyr. India,plyr. Vietnam Republic,3,2
plyr. South Korea,plyr. Singapore,3,2
plyr. South Korea,plyr. Taiwan,2,1
plyr. El Salvador,plyr. Guatemala,1,0
plyr. Western Australia,plyr. Taiwan,3,2
plyr. Vietnam Republic,plyr. Thailand,3,2
plyr. India,plyr. Myanmar,3,1
plyr. Vietnam Republic,plyr. Hong Kong,3,1
plyr. Chile,plyr. Peru,2,1
plyr. Thailand,plyr. India,1,0
plyr. Myanmar,plyr. Indonesia,2,1
plyr. South Korea,plyr. Thailand,2,1
plyr. South Korea,plyr. India,1,0
plyr. Western Australia,plyr. Indonesia,3,1
plyr. Malaysia,plyr. Myanmar,3,0
plyr. Singapore,plyr. Vietnam Republic,1,0
plyr. Indonesia,plyr. India,3,1
plyr. Vietnam Republic,plyr. India,2,0
plyr. Singapore,plyr. Indonesia,1,0
plyr. Suriname,plyr. French Guiana,2,1
plyr. Netherlands,plyr. Luxembourg,2,0
plyr. Northern Ireland,plyr. Israel,3,2
plyr. Sweden,plyr. Finland,3,0
plyr. New Caledonia,plyr. Fiji,2,1
plyr. Ghana,plyr. Benin,3,0
plyr. Switzerland,plyr. Austria,1,0
plyr. Czechoslovakia,plyr. Denmark,3,0
plyr. Uganda,plyr. Tanzania,2,0
plyr. Kenya,plyr. Zanzibar,3,0
plyr. Mexico,plyr. Ethiopia,3,0
plyr. Uganda,plyr. Zanzibar,2,0
plyr. Tanzania,plyr. Zanzibar,3,0
plyr. New Caledonia,plyr. New Zealand,3,1
plyr. Bulgaria,plyr. Turkey,2,0
plyr. Zambia,plyr. Uganda,3,2
plyr. Switzerland,plyr. Greece,1,0
plyr. Germany,plyr. Austria,2,0
plyr. Kenya,plyr. Zambia,2,1
plyr. Belgium,plyr. Yugoslavia,3,0
plyr. Mexico,plyr. Colombia,1,0
plyr. Scotland,plyr. Denmark,1,0
plyr. Spain,plyr. France,3,1
plyr. Czechoslovakia,plyr. Denmark,1,0
plyr. Chile,plyr. Mexico,3,1
plyr. Haiti,plyr. United States,1,0
plyr. Italy,plyr. Wales,1,0
plyr. Zambia,plyr. Tanzania,2,1
plyr. Mexico,plyr. Uruguay,2,0
plyr. United States,plyr. Canada,1,0
plyr. Bulgaria,plyr. Netherlands,2,0
plyr. Portugal,plyr. Romania,3,0
plyr. Poland,plyr. Republic of Ireland,1,0
plyr. Mexico,plyr. Brazil,2,1
plyr. Brazil,plyr. Mexico,2,1
plyr. Morocco,plyr. Senegal,1,0
plyr. Norway,plyr. France,1,0
plyr. Scotland,plyr. Austria,2,1
plyr. United States,plyr. Bermuda,2,0
plyr. Guadeloupe,plyr. Martinique,3,1
plyr. Costa Rica,plyr. El Salvador,3,0
plyr. Guadeloupe,plyr. Puerto Rico,2,0
plyr. Sierra Leone,plyr. Gambia,2,1
plyr. Tunisia,plyr. Algeria,2,1
plyr. Myanmar,plyr. Laos,3,0
plyr. Thailand,plyr. Singapore,3,0
plyr. Indonesia,plyr. Malaysia,1,0
plyr. Myanmar,plyr. Singapore,2,0
plyr. Thailand,plyr. Laos,1,0
plyr. Germany,plyr. Cyprus,1,0
plyr. Romania,plyr. Switzerland,2,0
plyr. Indonesia,plyr. Myanmar,3,1
plyr. DR Congo,plyr. Tunisia,1,0
plyr. Thailand,plyr. Malaysia,3,0
plyr. Costa Rica,plyr. Jamaica,3,0
plyr. Myanmar,plyr. Thailand,2,0
plyr. Costa Rica,plyr. Jamaica,3,1
plyr. Ghana,plyr. Senegal,2,0
plyr. Indonesia,plyr. Myanmar,1,0
plyr. Chile,plyr. Argentina,2,1
plyr. Curaçao,plyr. Suriname,2,0
plyr. Honduras,plyr. Jamaica,3,1
plyr. Haiti,plyr. Guatemala,2,0
plyr. Honduras,plyr. Jamaica,2,0
plyr. Zambia,plyr. Mauritius,3,2
plyr. Tahiti,plyr. New Caledonia,1,0
plyr. Northern Ireland,plyr. Turkey,3,0
plyr. El Salvador,plyr. Curaçao,1,0
plyr. El Salvador,plyr. Curaçao,2,1
plyr. Argentina,plyr. Poland,1,0
plyr. Chile,plyr. Germany,2,1
plyr. Brazil,plyr. Yugoslavia,3,2
plyr. Nigeria,plyr. Cameroon,3,2
plyr. Honduras,plyr. Costa Rica,1,0
plyr. Italy,plyr. Mexico,3,2
plyr. Senegal,plyr. Morocco,2,1
plyr. Kenya,plyr. Tanzania,2,1
plyr. Sudan,plyr. Kenya,1,0
plyr. Sudan,plyr. Tanzania,3,0
plyr. Sudan,plyr. Ethiopia,1,0
plyr. Suriname,plyr. Denmark,2,1
plyr. Turkey,plyr. Saudi Arabia,2,1
plyr. Congo,plyr. Senegal,1,0
plyr. Mexico,plyr. Denmark,3,0
plyr. Senegal,plyr. Cameroon,3,2
plyr. Libya,plyr. Ethiopia,2,0
plyr. DR Congo,plyr. Cameroon,2,1
plyr. Uganda,plyr. Cameroon,2,1
plyr. Cameroon,plyr. Uganda,2,0
plyr. Mexico,plyr. Colombia,1,0
plyr. Jamaica,plyr. Haiti,2,1
plyr. Haiti,plyr. Jamaica,3,0
plyr. Morocco,plyr. Senegal,2,0
plyr. Tanzania,plyr. Kenya,1,0
plyr. Russia,plyr. Colombia,3,1
plyr. Belgium,plyr. Spain,2,1
plyr. Yugoslavia,plyr. Sweden,2,1
plyr. Iran,plyr. Iraq,2,1
plyr. Algeria,plyr. Morocco,2,0
plyr. Pakistan,plyr. Iraq,2,1
plyr. Morocco,plyr. Algeria,2,0
plyr. Greece,plyr. Cyprus,1,0
plyr. Spain,plyr. Switzerland,1,0
plyr. Brazil,plyr. Peru,2,1
plyr. Brazil,plyr. Peru,3,2
plyr. Luxembourg,plyr. Mexico,2,1
plyr. Belgium,plyr. Mexico,2,0
plyr. German DR,plyr. Wales,2,1
plyr. Netherlands,plyr. Czechoslovakia,2,0
plyr. Switzerland,plyr. Portugal,2,0
plyr. Austria,plyr. Cyprus,2,1
plyr. Haiti,plyr. United States,2,0
plyr. Bulgaria,plyr. Luxembourg,2,1
plyr. Suriname,plyr. French Guiana,2,1
plyr. Austria,plyr. Malta,3,1
plyr. France,plyr. Romania,1,0
plyr. Spain,plyr. Yugoslavia,2,1
plyr. Poland,plyr. Turkey,3,1
plyr. Sweden,plyr. Mexico,1,0
plyr. England,plyr. Northern Ireland,3,1
plyr. Czechoslovakia,plyr. Republic of Ireland,2,1
plyr. Denmark,plyr. Mexico,3,1
plyr. England,plyr. Wales,2,1
plyr. Netherlands,plyr. Poland,1,0
plyr. Peru,plyr. Colombia,3,1
plyr. Mexico,plyr. Norway,2,0
plyr. Guernsey,plyr. Jersey,2,1
plyr. Germany,plyr. Austria,1,0
plyr. Nigeria,plyr. Ghana,2,1
plyr. Sudan,plyr. Ethiopia,3,1
plyr. Haiti,plyr. United States,1,0
plyr. Romania,plyr. Switzerland,1,0
plyr. Peru,plyr. Mexico,1,0
plyr. Mexico,plyr. Peru,3,0
plyr. Hungary,plyr. Czechoslovakia,2,0
plyr. Denmark,plyr. Republic of Ireland,2,0
plyr. Ethiopia,plyr. Tanzania,2,1
plyr. Honduras,plyr. El Salvador,1,0
plyr. Hungary,plyr. Republic of Ireland,2,1
plyr. Chile,plyr. Paraguay,1,0
plyr. England,plyr. Uruguay,2,1
plyr. Argentina,plyr. Chile,2,1
plyr. Brazil,plyr. England,2,1
plyr. Denmark,plyr. Hungary,3,2
plyr. El Salvador,plyr. Honduras,3,0
plyr. Chile,plyr. German DR,1,0
plyr. Iceland,plyr. Bermuda,2,1
plyr. Sweden,plyr. Denmark,1,0
plyr. Finland,plyr. Spain,2,0
plyr. German DR,plyr. Chile,2,1
plyr. El Salvador,plyr. Honduras,3,2
plyr. Peru,plyr. Uruguay,1,0
plyr. Cameroon,plyr. Zambia,2,1
plyr. Madagascar,plyr. Malawi,3,0
plyr. Uruguay,plyr. Colombia,1,0
plyr. Norway,plyr. Bermuda,3,0
plyr. Uruguay,plyr. Ecuador,2,0
plyr. Malawi,plyr. Eswatini,3,0
plyr. Peru,plyr. Paraguay,2,1
plyr. Peru,plyr. Paraguay,2,1
plyr. Uruguay,plyr. Ecuador,1,0
plyr. Norway,plyr. Iceland,2,1
plyr. Finland,plyr. Iceland,3,1
plyr. Bolivia,plyr. Argentina,3,1
plyr. Colombia,plyr. Venezuela,3,0
plyr. New Caledonia,plyr. New Zealand,2,0
plyr. New Caledonia,plyr. New Zealand,3,2
plyr. Peru,plyr. Argentina,1,0
plyr. Brazil,plyr. Colombia,2,0
plyr. Sweden,plyr. Russia,1,0
plyr. Paraguay,plyr. Venezuela,2,0
plyr. Bolivia,plyr. Peru,2,1
plyr. Paraguay,plyr. Colombia,1,0
plyr. Uruguay,plyr. Chile,2,0
plyr. Tahiti,plyr. Papua New Guinea,3,1
plyr. Tahiti,plyr. Fiji,2,0
plyr. New Caledonia,plyr. Vanuatu,2,0
plyr. Brazil,plyr. Paraguay,3,0
plyr. Peru,plyr. Bolivia,3,0
plyr. Papua New Guinea,plyr. Vanuatu,2,1
plyr. Paraguay,plyr. Venezuela,1,0
plyr. New Caledonia,plyr. Tahiti,2,1
plyr. Papua New Guinea,plyr. Fiji,2,1
plyr. Argentina,plyr. Bolivia,1,0
plyr. Benin,plyr. Gabon,1,0
plyr. Paraguay,plyr. Colombia,2,1
plyr. Sweden,plyr. Israel,3,1
plyr. Brazil,plyr. Paraguay,1,0
plyr. Poland,plyr. Netherlands,2,1
plyr. France,plyr. Norway,3,1
plyr. El Salvador,plyr. Costa Rica,2,1
plyr. New Zealand,plyr. Singapore,2,0
plyr. Egypt,plyr. Algeria,1,0
plyr. El Salvador,plyr. Haiti,2,1
plyr. Morocco,plyr. Nigeria,2,1
plyr. Norway,plyr. Denmark,2,0
plyr. Germany,plyr. Bulgaria,1,0
plyr. Sweden,plyr. Hungary,2,0
plyr. Turkey,plyr. Switzerland,3,0
plyr. Russia,plyr. Yugoslavia,3,1
plyr. Uganda,plyr. Tanzania,3,0
plyr. Haiti,plyr. El Salvador,3,0
plyr. Kenya,plyr. Zanzibar,2,1
plyr. Israel,plyr. New Zealand,2,0
plyr. Tanzania,plyr. Kenya,3,0
plyr. Tanzania,plyr. Zanzibar,3,0
plyr. Uganda,plyr. Kenya,1,0
plyr. Czechoslovakia,plyr. Republic of Ireland,3,0
plyr. El Salvador,plyr. Haiti,1,0
plyr. Australia,plyr. Japan,3,1
plyr. Romania,plyr. Portugal,1,0
plyr. Suriname,plyr. Dominica,3,1
plyr. Australia,plyr. South Korea,2,1
plyr. Russia,plyr. Turkey,3,0
plyr. Sweden,plyr. France,2,0
plyr. South Korea,plyr. Japan,2,0
plyr. Mexico,plyr. Bermuda,3,0
plyr. Germany,plyr. Scotland,3,2
plyr. Hungary,plyr. Denmark,3,0
plyr. Russia,plyr. Northern Ireland,2,0
plyr. German DR,plyr. Wales,3,1
plyr. Algeria,plyr. Palestine,2,0
plyr. Morocco,plyr. Sudan,3,0
plyr. Algeria,plyr. Morocco,1,0
plyr. Malaysia,plyr. Thailand,1,0
plyr. Myanmar,plyr. Singapore,3,1
plyr. Western Australia,plyr. India,1,0
plyr. France,plyr. Sweden,3,0
plyr. Indonesia,plyr. South Korea,3,0
plyr. Bermuda,plyr. Mexico,2,1
plyr. Egypt,plyr. Sudan,3,1
plyr. India,plyr. Singapore,3,0
plyr. Austria,plyr. Scotland,2,0
plyr. Jamaica,plyr. Panama,2,1
plyr. Mexico,plyr. Belgium,1,0
plyr. England,plyr. Netherlands,1,0
plyr. South Korea,plyr. Thailand,3,0
plyr. South Korea,plyr. Western Australia,3,2
plyr. Thailand,plyr. India,1,0
plyr. Malaysia,plyr. Myanmar,3,1
plyr. South Korea,plyr. Thailand,2,1
plyr. India,plyr. Western Australia,2,1
plyr. Nigeria,plyr. Morocco,2,0
plyr. Ivory Coast,plyr. Morocco,1,0
plyr. Indonesia,plyr. Malaysia,3,2
plyr. Poland,plyr. Bulgaria,3,0
plyr. Saint Vincent and the Grenadines,plyr. Dominica,1,0
plyr. Bermuda,plyr. Iceland,3,2
plyr. French Guiana,plyr. Suriname,3,2
plyr. Saint Vincent and the Grenadines,plyr. Saint Lucia,2,1
plyr. Grenada,plyr. Dominica,1,0
plyr. Norway,plyr. Guatemala,3,1
plyr. Saint Lucia,plyr. Dominica,3,1
plyr. Russia,plyr. Turkey,3,1
plyr. South Korea,plyr. Laos,2,0
plyr. Vietnam Republic,plyr. Western Australia,3,1
plyr. Singapore,plyr. Indonesia,3,2
plyr. South Korea,plyr. Malaysia,2,0
plyr. Indonesia,plyr. Vietnam Republic,3,1
plyr. Western Australia,plyr. Singapore,3,1
plyr. Italy,plyr. German DR,3,0
plyr. Costa Rica,plyr. Jamaica,3,0
plyr. Indonesia,plyr. Western Australia,3,1
plyr. Indonesia,plyr. Laos,3,1
plyr. South Korea,plyr. Vietnam Republic,3,0
plyr. Costa Rica,plyr. Curaçao,2,1
plyr. Mexico,plyr. Jamaica,2,0
plyr. Guatemala,plyr. Trinidad and Tobago,2,0
plyr. South Korea,plyr. Indonesia,1,0
plyr. Australia,plyr. Zimbabwe,3,1
plyr. Trinidad and Tobago,plyr. Jamaica,3,2
plyr. Costa Rica,plyr. Mexico,2,0
plyr. Curaçao,plyr. Trinidad and Tobago,3,1
plyr. Guatemala,plyr. Mexico,1,0
plyr. Israel,plyr. Australia,1,0
plyr. North Korea,plyr. Algeria,3,1
plyr. Curaçao,plyr. Jamaica,2,1
plyr. Malaysia,plyr. Laos,2,1
plyr. Bulgaria,plyr. Luxembourg,3,1
plyr. Malaysia,plyr. Vietnam Republic,2,1
plyr. England,plyr. Portugal,1,0
plyr. Thailand,plyr. Malaysia,3,0
plyr. Myanmar,plyr. Thailand,3,0
plyr. German DR,plyr. Egypt,3,1
plyr. Morocco,plyr. Bulgaria,3,0
plyr. Netherlands,plyr. Israel,1,0
plyr. Czechoslovakia,plyr. Peru,2,0
plyr. Cameroon,plyr. Ivory Coast,3,2
plyr. Sudan,plyr. Ethiopia,3,0
plyr. Ghana,plyr. DR Congo,2,0
plyr. Peru,plyr. Czechoslovakia,2,1
plyr. Cameroon,plyr. Ethiopia,3,2
plyr. Ivory Coast,plyr. Sudan,1,0
plyr. Sudan,plyr. Cameroon,2,1
plyr. Egypt,plyr. DR Congo,1,0
plyr. Spain,plyr. Germany,2,0
plyr. Ghana,plyr. Ivory Coast,2,1
plyr. Sudan,plyr. Egypt,2,1
plyr. Egypt,plyr. Ivory Coast,3,1
plyr. Sudan,plyr. Ghana,1,0
plyr. Mexico,plyr. Bulgaria,2,0
plyr. Russia,plyr. Peru,2,0
plyr. Bulgaria,plyr. Peru,3,1
plyr. Russia,plyr. El Salvador,2,0
plyr. England,plyr. Belgium,3,1
plyr. Costa Rica,plyr. El Salvador,2,0
plyr. Sweden,plyr. Mexico,1,0
plyr. Argentina,plyr. Brazil,2,0
plyr. Mexico,plyr. Peru,1,0
plyr. Brazil,plyr. Argentina,2,1
plyr. Peru,plyr. Mexico,1,0
plyr. Mexico,plyr. Peru,3,1
plyr. Brazil,plyr. Chile,2,1
plyr. Guinea,plyr. Mali,2,1
plyr. Bahrain,plyr. Qatar,2,1
plyr. Kuwait,plyr. Saudi Arabia,3,1
plyr. Uruguay,plyr. Peru,2,0
plyr. Kuwait,plyr. Bahrain,3,1
plyr. Argentina,plyr. Uruguay,2,1
plyr. Czechoslovakia,plyr. Austria,3,1
plyr. Ghana,plyr. Ivory Coast,3,0
plyr. Uruguay,plyr. Argentina,2,1
plyr. Scotland,plyr. Northern Ireland,1,0
plyr. England,plyr. Northern Ireland,3,1
plyr. Peru,plyr. El Salvador,3,0
plyr. Spain,plyr. Switzerland,1,0
plyr. Wales,plyr. Northern Ireland,1,0
plyr. France,plyr. Romania,2,0
plyr. Brazil,plyr. Austria,1,0
plyr. Hungary,plyr. Poland,2,0
plyr. Switzerland,plyr. France,2,1
plyr. Poland,plyr. Republic of Ireland,2,1
plyr. Germany,plyr. Republic of Ireland,2,1
plyr. Czechoslovakia,plyr. Luxembourg,1,0
plyr. Jersey,plyr. Guernsey,2,0
plyr. Italy,plyr. Portugal,2,1
plyr. Germany,plyr. Yugoslavia,1,0
plyr. Czechoslovakia,plyr. Norway,2,0
plyr. Guinea,plyr. Senegal,3,1
plyr. Sweden,plyr. Hungary,2,1
plyr. Poland,plyr. Denmark,2,0
plyr. England,plyr. Ecuador,2,0
plyr. Peru,plyr. Bulgaria,3,2
plyr. England,plyr. Romania,1,0
plyr. Uruguay,plyr. Israel,2,0
plyr. Belgium,plyr. El Salvador,3,0
plyr. Germany,plyr. Morocco,2,1
plyr. Italy,plyr. Sweden,1,0
plyr. Romania,plyr. Czechoslovakia,2,1
plyr. Peru,plyr. Morocco,3,0
plyr. Brazil,plyr. England,1,0
plyr. Brazil,plyr. Romania,3,2
plyr. Russia,plyr. El Salvador,2,0
plyr. Germany,plyr. Peru,3,1
plyr. Sweden,plyr. Uruguay,1,0
plyr. England,plyr. Czechoslovakia,1,0
plyr. Mexico,plyr. Belgium,1,0
plyr. Honduras,plyr. Panama,1,0
plyr. Germany,plyr. England,3,2
plyr. Uruguay,plyr. Russia,1,0
plyr. Brazil,plyr. Uruguay,3,1
plyr. Norway,plyr. Finland,2,0
plyr. Germany,plyr. Uruguay,1,0
plyr. Indonesia,plyr. Hong Kong,2,1
plyr. Indonesia,plyr. Western Australia,3,1
plyr. Malaysia,plyr. South Korea,1,0
plyr. Hong Kong,plyr. Western Australia,3,1
plyr. Indonesia,plyr. Hong Kong,3,2
plyr. Malaysia,plyr. South Korea,2,0
plyr. DR Congo,plyr. Sudan,3,0
plyr. Malawi,plyr. Mauritius,1,0
plyr. Tahiti,plyr. New Caledonia,3,1
plyr. New Caledonia,plyr. Tahiti,2,0
plyr. Iceland,plyr. Norway,2,0
plyr. Poland,plyr. Iraq,2,0
plyr. Ivory Coast,plyr. Guinea,3,2
plyr. Taiwan,plyr. India,1,0
plyr. Hong Kong,plyr. Japan,2,1
plyr. Myanmar,plyr. Western Australia,1,0
plyr. Taiwan,plyr. Vietnam Republic,2,1
plyr. India,plyr. Malaysia,3,1
plyr. Gabon,plyr. Cameroon,3,0
plyr. Indonesia,plyr. Singapore,3,1
plyr. Hong Kong,plyr. Thailand,2,0
plyr. Myanmar,plyr. India,2,0
plyr. Western Australia,plyr. Vietnam Republic,3,1
plyr. Malaysia,plyr. Taiwan,3,1
plyr. Indonesia,plyr. Hong Kong,3,1
plyr. India,plyr. Western Australia,2,0
plyr. Hong Kong,plyr. Singapore,3,2
plyr. South Korea,plyr. Indonesia,2,1
plyr. Lesotho,plyr. Malawi,2,1
plyr. India,plyr. Vietnam Republic,2,1
plyr. Western Australia,plyr. Taiwan,3,1
plyr. Myanmar,plyr. Malaysia,2,1
plyr. Thailand,plyr. Western Australia,2,0
plyr. South Korea,plyr. India,3,2
plyr. India,plyr. Hong Kong,3,2
plyr. South Korea,plyr. Myanmar,1,0
plyr. Japan,plyr. Taiwan,3,2
plyr. Sweden,plyr. Finland,2,1
plyr. Libya,plyr. Tunisia,3,2
plyr. France,plyr. Czechoslovakia,3,0
plyr. Germany,plyr. Hungary,3,1
plyr. Turkey,plyr. Pakistan,3,1
plyr. Yugoslavia,plyr. Austria,1,0
plyr. North Vietnam,plyr. Cuba,2,1
plyr. Norway,plyr. Denmark,1,0
plyr. Poland,plyr. Republic of Ireland,2,0
plyr. Tunisia,plyr. Libya,2,0
plyr. Uganda,plyr. Zanzibar,1,0
plyr. Tanzania,plyr. Kenya,2,0
plyr. Uganda,plyr. Kenya,2,1
plyr. Brazil,plyr. Mexico,2,1
plyr. Tanzania,plyr. Zanzibar,2,1
plyr. Zanzibar,plyr. Kenya,3,2
plyr. Suriname,plyr. Trinidad and Tobago,3,2
plyr. Austria,plyr. France,1,0
plyr. Hungary,plyr. Norway,3,1
plyr. Romania,plyr. Finland,3,0
plyr. Sierra Leone,plyr. Senegal,1,0
plyr. Portugal,plyr. Denmark,1,0
plyr. Yugoslavia,plyr. Luxembourg,2,0
plyr. Poland,plyr. Albania,3,0
plyr. Senegal,plyr. Ivory Coast,1,0
plyr. Australia,plyr. New Caledonia,3,1
plyr. Australia,plyr. New Caledonia,1,0
plyr. Togo,plyr. Senegal,3,0
plyr. Spain,plyr. Greece,2,1
plyr. Sweden,plyr. Republic of Ireland,1,0
plyr. Thailand,plyr. Indonesia,2,1
plyr. Italy,plyr. Austria,2,1
plyr. Vietnam Republic,plyr. Indonesia,3,1
plyr. Benin,plyr. Congo,3,2
plyr. Malaysia,plyr. Indonesia,3,1
plyr. Guinea,plyr. Sierra Leone,2,1
plyr. Vietnam Republic,plyr. Thailand,1,0
plyr. Australia,plyr. Iran,2,1
plyr. Ivory Coast,plyr. Gabon,2,1
plyr. Singapore,plyr. Hong Kong,1,0
plyr. Thailand,plyr. Laos,1,0
plyr. Togo,plyr. Benin,2,1
plyr. South Korea,plyr. Hong Kong,3,0
plyr. Thailand,plyr. Singapore,3,1
plyr. France,plyr. Norway,3,1
plyr. German DR,plyr. Netherlands,1,0
plyr. Scotland,plyr. Denmark,1,0
plyr. Spain,plyr. Northern Ireland,3,0
plyr. Suriname,plyr. French Guiana,3,2
plyr. Thailand,plyr. Hong Kong,2,1
plyr. Indonesia,plyr. Malaysia,3,0
plyr. Laos,plyr. Singapore,3,0
plyr. France,plyr. Belgium,2,1
plyr. Russia,plyr. Cyprus,3,1
plyr. Guinea,plyr. Senegal,1,0
plyr. Madagascar,plyr. Mauritius,2,1
plyr. Malaysia,plyr. Vietnam Republic,2,1
plyr. Hungary,plyr. Switzerland,1,0
plyr. South Korea,plyr. Malaysia,2,0
plyr. Thailand,plyr. Indonesia,2,1
plyr. Yugoslavia,plyr. Germany,2,0
plyr. Malaysia,plyr. Indonesia,3,1
plyr. South Korea,plyr. Thailand,1,0
plyr. Kenya,plyr. Ethiopia,2,0
plyr. Congo,plyr. Nigeria,2,1
plyr. Germany,plyr. Greece,3,1
plyr. Ivory Coast,plyr. Gabon,1,0
plyr. DR Congo,plyr. Uganda,1,0
plyr. Saint Vincent and the Grenadines,plyr. Dominica,1,0
plyr. Belgium,plyr. Denmark,2,0
plyr. England,plyr. German DR,3,1
plyr. Grenada,plyr. Dominica,2,1
plyr. Netherlands,plyr. Romania,2,0
plyr. Italy,plyr. Republic of Ireland,3,0
plyr. Algeria,plyr. Morocco,3,1
plyr. Japan,plyr. Malaysia,1,0
plyr. Myanmar,plyr. Cambodia,2,1
plyr. India,plyr. Vietnam Republic,2,0
plyr. South Korea,plyr. Iran,1,0
plyr. Mali,plyr. Niger,1,0
plyr. Japan,plyr. Cambodia,1,0
plyr. Myanmar,plyr. Malaysia,1,0
plyr. Turkey,plyr. Albania,2,1
plyr. Thailand,plyr. Vietnam Republic,1,0
plyr. Japan,plyr. Myanmar,2,1
plyr. Cambodia,plyr. Malaysia,2,0
plyr. Kenya,plyr. Ethiopia,1,0
plyr. India,plyr. Indonesia,3,0
plyr. South Korea,plyr. Thailand,2,1
plyr. Switzerland,plyr. Greece,1,0
plyr. Japan,plyr. Indonesia,2,1
plyr. Japan,plyr. India,1,0
plyr. Myanmar,plyr. South Korea,1,0
plyr. South Korea,plyr. Japan,2,1
plyr. Myanmar,plyr. India,2,0
plyr. Indonesia,plyr. Thailand,1,0
plyr. India,plyr. Japan,1,0
plyr. Switzerland,plyr. Malta,2,1
plyr. Egypt,plyr. Libya,1,0
plyr. Mali,plyr. Niger,3,1
plyr. Morocco,plyr. Algeria,3,0
plyr. Egypt,plyr. Libya,2,1
plyr. Argentina,plyr. France,2,0
plyr. Iraq,plyr. Kuwait,2,0
plyr. Sierra Leone,plyr. Ghana,2,1
plyr. German DR,plyr. Chile,1,0
plyr. Belgium,plyr. Scotland,3,0
plyr. Northern Ireland,plyr. Cyprus,3,0
plyr. England,plyr. Malta,1,0
plyr. Sierra Leone,plyr. Ghana,2,1
plyr. German DR,plyr. Uruguay,3,0
plyr. Nigeria,plyr. Sierra Leone,1,0
plyr. Germany,plyr. Albania,1,0
plyr. Belgium,plyr. Portugal,3,0
